Metric,Value
Total Transactions,21465
Total Unique Transactions,20761

Month,Total Transactions,Unique Transactions
2024-02,3509,2805
2024-03,1595,1595
2024-04,2289,2289
2024-05,1492,1492
2024-06,1076,1076
2024-07,1375,1375
2024-08,1937,1937
2024-09,991,991
2024-10,961,961
2024-11,2907,2907
2024-12,1734,1734
2025-01,1496,1496
2025-02,103,103
