0.0.2@1706812879.799123335,1706812890529120000,11,1,1002,
0.0.2@1706812979.803437910,1706812990496232000,11,1,1003,
0.0.2@1706813956.461991758,1706813969309574400,11,1,1004,
0.0.2@1706814138.370918575,1706814150595712000,11,1,1005,
0.0.2@1706814391.672547425,1706814400590103000,11,1,1006,
0.0.2@1706814600.811203633,1706814610477778200,11,1,1007,
0.0.2@1706814861.169146219,1706814870589043000,11,1,1113,
0.0.2@1706815221.647666869,1706815230609913300,11,1,1239,
0.0.2@1706815301.764877302,1706815310498107000,11,1,1240,
0.0.2@1706815468.351572497,1706815480509779000,11,1,1241,
0.0.2@1706815910.429479044,1706815920504207000,11,1,1242,
0.0.2@1706816057.973563935,1706816070676487000,11,1,1243,
0.0.2@1706816088.804942725,1706816100577341000,11,1,1246,
0.0.2@1706816287.526846951,1706816300484454000,11,1,1280,
0.0.2@1706816291.125955732,1706816300545027000,11,1,1281,
0.0.2@1706816291.584971837,1706816300686929400,11,1,1282,
0.0.2@1706816293.193330058,1706816302505650400,11,1,1283,
0.0.2@1706816289.280041434,1706816302505652000,11,1,1284,
0.0.2@1706816290.540373285,1706816302686129000,11,1,1285,
0.0.2@1706816291.979641260,1706816304485717000,11,1,1286,
0.0.2@1706816294.750321766,1706816304577532000,11,1,1287,
0.0.2@1706816292.725886549,1706816304708818000,11,1,1288,
0.0.2@1706816296.181216697,1706816306516281000,11,1,1289,
0.0.2@1706816297.958608786,1706816306599735000,11,1,1290,
0.0.2@1706816296.388344952,1706816306636411000,11,1,1291,
0.0.2@1706816297.124332761,1706816308487056100,11,1,1292,
0.0.2@1706816295.879014474,1706816308548357000,11,1,1293,
0.0.2@1706816297.700699147,1706816308556896000,11,1,1294,
0.0.2@1706816297.844401192,1706816310236185000,11,1,1295,
0.0.2@1706816298.496188052,1706816310264334300,11,1,1296,
0.0.2@1706816297.304835173,1706816310476845000,11,1,1297,
0.0.2@1706816299.818571368,1706816310624493000,11,1,1298,
0.0.2@1706816297.455001216,1706816310637670000,11,1,1299,
0.0.2@1706816301.150571968,1706816310679256000,11,1,1300,
0.0.2@1706816301.560380861,1706816312064862500,11,1,1301,
0.0.2@1706816301.934138290,1706816312276623000,11,1,1302,
0.0.2@1706816302.604773181,1706816312359838000,11,1,1303,
0.0.2@1706816300.549654568,1706816312377354000,11,1,1304,
0.0.2@1706816303.142668518,1706816312479886000,11,1,1306,
0.0.2@1706816300.419091671,1706816312719752200,11,1,1307,
0.0.2@1706816304.115468030,1706816314145331000,11,1,1308,
0.0.2@1706816305.442426043,1706816314248680700,11,1,1309,
0.0.2@1706816304.490959168,1706816314369058000,11,1,1310,
0.0.2@1706816303.542789998,1706816314404519000,11,1,1311,
0.0.2@1706816303.376185932,1706816314464973000,11,1,1312,
0.0.2@1706816301.815778934,1706816314556237000,11,1,1313,
0.0.2@1706816304.986244520,1706816315928970000,11,1,1314,
0.0.2@1706816304.455704137,1706816316097447000,11,1,1315,
0.0.2@1706816307.979881987,1706816316379341600,11,1,1316,
0.0.2@1706816303.221587210,1706816316397344000,11,1,1317,
0.0.2@1706816303.151051883,1706816316526610000,11,1,1318,
0.0.2@1706816304.392935548,1706816316526611000,11,1,1319,
0.0.2@1706816307.689312439,1706816317925418000,11,1,1320,
0.0.2@1706816305.968785294,1706816318328887000,11,1,1321,
0.0.2@1706816307.412051700,1706816318328888000,11,1,1322,
0.0.2@1706816307.160410064,1706816318328889000,11,1,1323,
0.0.2@1706816307.522377004,1706816318480078000,11,1,1324,
0.0.2@1706816308.903208107,1706816319757270300,11,1,1325,
0.0.2@1706816311.228701238,1706816319860032000,11,1,1326,
0.0.2@1706816308.576745067,1706816319896652300,11,1,1327,
0.0.2@1706816309.997716425,1706816320076331500,11,1,1328,
0.0.2@1706816307.454100636,1706816320237171000,11,1,1329,
0.0.2@1706816308.796209329,1706816320368356000,11,1,1330,
0.0.2@1706816309.918908262,1706816320565192200,11,1,1331,
0.0.2@1706816308.429781679,1706816320579468000,11,1,1332,
0.0.2@1706816308.715959156,1706816321456614700,11,1,1333,
0.0.2@1706816308.522266172,1706816321719905000,11,1,1334,
0.0.2@1706816310.730755319,1706816321845019000,11,1,1335,
0.0.2@1706816313.309132964,1706816321964137500,11,1,1336,
0.0.2@1706816311.900334403,1706816322047002000,11,1,1337,
0.0.2@1706816310.963568421,1706816322084286500,11,1,1338,
0.0.2@1706816311.141422221,1706816322245535000,11,1,1339,
0.0.2@1706816312.786956283,1706816322356326000,11,1,1340,
0.0.2@1706816311.230248396,1706816322485893000,11,1,1341,
0.0.2@1706816312.064295465,1706816323565751600,11,1,1342,
0.0.2@1706816314.548299886,1706816323764877000,11,1,1343,
0.0.2@1706816312.547785778,1706816323885015000,11,1,1344,
0.0.2@1706816313.430677433,1706816323976720100,11,1,1345,
0.0.2@1706816313.176548012,1706816324026966500,11,1,1346,
0.0.2@1706816313.588738535,1706816324059985200,11,1,1347,
